"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1963715970805219408","Thu Sep 04 21:29:06 +0000 2025","0","Kepolisian Resor Kepulauan Tanimbar Bhabinkamtibmas desa arui bab sosialisasikan literasi digital kepada masyarakat #kapolreskepulauantanimbar #divisihumaspolri https://t.co/AOIHdbpaxn","1963715970805219408","https://pbs.twimg.com/media/G0CFRIOaAAAOKaD.jpg","","in","","0","0","0","https://x.com/undefined/status/1963715970805219408","1461254089",
"1963655493681123529","Thu Sep 04 17:28:47 +0000 2025","0","Sosialisasi Kehumasan Dalam rangka memberikan pemahaman terkait hal ikhwal kehumasan kejahatan siber dan literasi digital kepada personel Polres Metro. (Kamis 4/9/2025) https://t.co/EOhblqy1VT","1963655493681123529","https://pbs.twimg.com/media/G0BOQ7ybkAIrh36.jpg","","in","","0","0","0","https://x.com/undefined/status/1963655493681123529","930699248047415296",
"1963653544005046536","Thu Sep 04 17:21:05 +0000 2025","0","Pemerintah perlu memperkuat program edukasi anti-kekerasan &amp; literasi digital terutama bagi remaja. Penting juga untuk menangani akar masalah kemiskinan dan ketidaksetaraan agar mereka tidak mudah diintervensi oleh pihak tak bertanggung jawab.","1963653557363904614","","txtdarillm","in","","0","0","0","https://x.com/undefined/status/1963653557363904614","1795100176639815680",
"1963631524055507042","Thu Sep 04 15:53:32 +0000 2025","5","Selain literasi finansial sepertinya literasi teknologi juga harus digenjot sbg skala prioritas. Gw heran dgn yg kegocek platform AI-detector. Bruh lu bisa punya file digital buatan asli tanpa campur tangan AI dan ttp masih kena label AI-generated sampe diatas 60% bahkan 100%.","1963631524055507042","","","in","","0","0","0","https://x.com/undefined/status/1963631524055507042","1706739906750693376",
"1963625772666728883","Thu Sep 04 15:30:41 +0000 2025","0","Seksi Humas Polres Bungo melaksanakan kegiatan Literasi Digital bagi Satuan Kerja (Satker) Polres Bungo Dalam upaya meningkatkan pemahaman dan keterampilan personel dalam menghadapi perkembangan teknologi digital https://t.co/x0id2x96KS","1963625772666728883","https://pbs.twimg.com/media/G0AzNpLagAAR5yC.jpg","","in","","0","0","0","https://x.com/undefined/status/1963625772666728883","1202609755002290177",
"1963617097701101635","Thu Sep 04 14:56:12 +0000 2025","0","Gua tadi kann matkul literasi digital nah abis itu dibuat kelompok berdasarkan dari hitungan acak nahh pas ngerjain tugas tadi kel ku ni ga jabarin per poin malah langsung secara umum dan g to the point gtu nah aku kebagian handle nomor dua yg mana aku ngerjain nya point ","1963617097701101635","","","in","","0","0","0","https://x.com/undefined/status/1963617097701101635","1706478564336599040",
"1963581138343268601","Thu Sep 04 13:06:52 +0000 2025","1","Intinya sama seperti ketika kita menghadapi hoaks. Saya yakin kita semua udah pada pinter dan melek literasi digital. Sekian racauan ini. Saya mau ngoding lagi.","1963589580172779614","","eLAmaravati","in","","0","0","0","https://x.com/undefined/status/1963589580172779614","1147288997531541504",
"1963575166476116098","Thu Sep 04 12:09:35 +0000 2025","0","Literasi digital itu aset. Semakin kita paham semakin kita aman dari hoaks. Ayo Bersama Menjaga Indonesia #ResetIndonesia https://t.co/jCvyFLE0O5","1963575166476116098","","","in","","0","0","0","https://x.com/undefined/status/1963575166476116098","1878914569898168320",
"1963574231033086035","Thu Sep 04 12:05:52 +0000 2025","0","Literasi digital itu bekal kita di era modern. Wajib punya! Ayo Bersama Menjaga Indonesia #ResetIndonesia https://t.co/4whZBqFkDN","1963574231033086035","","","in","","0","0","0","https://x.com/undefined/status/1963574231033086035","1908756654373691394",
"1963573460510122102","Thu Sep 04 12:02:49 +0000 2025","0","Bangun imunitas digital kita dari hoaks. Dengan apa? Literasi! Ayo Bersama Menjaga Indonesia #ResetIndonesia https://t.co/tmAqx2Ytta","1963573460510122102","","","in","","0","0","0","https://x.com/undefined/status/1963573460510122102","1908562908109234176",
"1963573299310407750","Thu Sep 04 12:02:10 +0000 2025","0","Literasi digital itu kunci. Kita bisa bedakan mana yang fakta mana yang cuma opini. Ayo Bersama Menjaga Indonesia #ResetIndonesia https://t.co/Mxq8w2FgBQ","1963573299310407750","","","in","","0","0","0","https://x.com/undefined/status/1963573299310407750","1908927138075656192",
"1963560554867392707","Thu Sep 04 11:11:32 +0000 2025","357","Literasi Digital Literasi Platform Dan kita juga perlu: Literasi Buzzer https://t.co/FnFTGRbBoM","1963560554867392707","","","in","","4","6","147","https://x.com/undefined/status/1963560554867392707","34075325",
"1963517044919308397","Thu Sep 04 08:18:38 +0000 2025","0","Kasi Humas Polres Sawahlunto AKP Febrijoni memberikan sosialisasi penting terkait literasi digital saat memimpin apel siang di halaman Mapolres Sawahlunto Rabu (04/09/2025). https://t.co/qSJo224Mpf","1963517044919308397","https://pbs.twimg.com/media/Gz_QV3XaQAARJ-z.jpg","","in","","0","0","0","https://x.com/undefined/status/1963517044919308397","1262560921471217665",
"1963454235267252454","Thu Sep 04 05:49:05 +0000 2025","0","@blooming63 Informasi palsu bisa menghancurkan kepercayaan mari perkuat literasi digital kita. #JagaKeutuhanIndonesia Waspada Provokator Pemecah","1963479407726616803","","blooming63","in","","0","0","0","https://x.com/undefined/status/1963479407726616803","1951295555638009859",
"1963469687565504751","Thu Sep 04 05:10:27 +0000 2025","0","Kemenko Polkam Perkuat Literasi Digital Jadi Benteng Lawan Judi Daring https://t.co/YdREvOexXb #KemenkoPolkam #DeputiKominfo","1963469687565504751","","","in","","1","6","0","https://x.com/undefined/status/1963469687565504751","4787817264",
"1963454235267252454","Thu Sep 04 05:00:46 +0000 2025","0","@blooming63 Berita bohong dan ujaran kebencian bisa memicu perpecahan. Mari bijak dalam menerima informasi dan perkuat literasi digital kita #JagaKeutuhanIndonesia Waspada Provokator Pemecah","1963467251618812294","","blooming63","in","","0","0","0","https://x.com/undefined/status/1963467251618812294","1942781060041039875",
"1963447480613253243","Thu Sep 04 04:06:16 +0000 2025","0","@yunesafess aku juga ada literasi digital sama agama islam barangkali ada yg butuh","1963453536500629550","","yunesafess","in","","0","1","0","https://x.com/undefined/status/1963453536500629550","1772633311216824320",
"1963447829655064580","Thu Sep 04 03:43:36 +0000 2025","6","Internalisasi Kehumasan Kanit Kamsel Sat Lantas Polres Klungkung Beri Edukasi Literasi Digital kepada Masyarakat #poldabali #humaspoldabali #polripresisi #poskopresisipoldabali #polresklungkungpoldabali #humaspolresklungkungpoldabali #polriuntukmasyarakat https://t.co/ZUgY3QJ6TA","1963447829655064580","https://pbs.twimg.com/media/Gz-RRsUasAALaYn.jpg","","in","","0","0","0","https://x.com/undefined/status/1963447829655064580","1004222775488204800",
"1963447480613253243","Thu Sep 04 03:42:13 +0000 2025","0","halo rek! nesa! maba! buat yang lagi cari buku Literasi Digital aku ready ni https://t.co/wOHIInJiXl","1963447480613253243","https://pbs.twimg.com/media/Gz-RFBfXsAAzjGX.jpg","","in","","0","1","0","https://x.com/undefined/status/1963447480613253243","4217993619",
"1963439309609963830","Thu Sep 04 03:10:06 +0000 2025","0","Program ini wujud kolaborasi PLN &amp; Dompet Dhuafa dorong literasi digital dan peningkatan kompetensi guru. Baca lebih lanjut melalui link ini : https://t.co/g4ahjFBf8e https://t.co/mZ1aqOCTQF","1963439401645871249","https://pbs.twimg.com/media/Gz-JutYbkAMnt1b.jpg","infoenergi_id","in","","0","0","0","https://x.com/undefined/status/1963439401645871249","1207349053970739202",
"1963436390680875463","Thu Sep 04 02:58:09 +0000 2025","0","#TemanPemilih Anggota KPU Kabupaten Jepara Muhammadun menjadi narasumber dalam dalam workshop bertema Belajar Menulis: Upaya Literasi Santri di Tengah Demokrasi Digital Senin (1/9/2025). Kegiatan berlangsung di Pondok Pesantren Bumi Kartini Jepara dan diikuti para santri. https://t.co/G12C8zywWk","1963436390680875463","https://pbs.twimg.com/media/Gz-GdSdbkAA4qN8.jpg","","in","","0","0","0","https://x.com/undefined/status/1963436390680875463","3409871354",
"1963421146260673027","Thu Sep 04 01:57:34 +0000 2025","0","Sialan ni modul literasi digital isinya etika berinternet presiden lu noh sewa buzzer","1963421146260673027","","","in","","0","0","0","https://x.com/undefined/status/1963421146260673027","1013962801168019457",
"1963396458532508060","Thu Sep 04 00:19:28 +0000 2025","0","Kapolresta Balikpapan Tekankan Pentingnya Kehumasan dan Literasi Digital bagi Personel Polri Balikpapan Polresta Balikpapan terus berupaya meningkatkan kapasitas sumber daya manusia khususnya dalam menghadapi tantangan komunikasi publik era digital. #HumasPolrestaBalikpapan https://t.co/V34ZTQ2gcv","1963396458532508060","https://pbs.twimg.com/media/Gz9iqvDagAAHcKe.jpg","","in","","0","0","0","https://x.com/undefined/status/1963396458532508060","1641314007503228928",
"1963366592181670390","Wed Sep 03 22:20:47 +0000 2025","0","Mahasiswi KKNMas 2025 Sosialisasi Literasi Digital di SDN 03 Desa Dosan https://t.co/4xj5V5Bc1M","1963366592181670390","","","in","","0","0","0","https://x.com/undefined/status/1963366592181670390","1541606354179465216",
"1963302202531025118","Wed Sep 03 18:04:56 +0000 2025","0","mari kita tingkatkan literasi digital biar selalu waspada sm hoaks https://t.co/Chleb4SRWz","1963302202531025118","https://pbs.twimg.com/media/Gz8M8ZkbkAU0Bed.jpg","","in","","0","0","0","https://x.com/undefined/status/1963302202531025118","2842046911",
"1963290484723651065","Wed Sep 03 17:18:22 +0000 2025","1","Mengapa Literasi Digital Penting? https://t.co/d5CGZ96jbH","1963290484723651065","https://pbs.twimg.com/media/Gz8CR4AbQAA7Ozd.jpg","","in","","0","0","0","https://x.com/undefined/status/1963290484723651065","1092967217782640640",
"1963194054105043259","Wed Sep 03 13:53:29 +0000 2025","0","@tanyakanrl Dari pada pelatihan militer pasca pelantikan ada baiknya para menteri dan jajarannya diikutkan pelatihan publik speaking literasi media digital dan kegiatan amal kemanusiaan. Tiap hari ada aja pejabat yang pernyataannya nyakitin hati mungil rakyat :(","1963238922626195754","","tanyakanrl","in","","0","0","0","https://x.com/undefined/status/1963238922626195754","1027203530614923265",
"1963224250870902882","Wed Sep 03 12:55:11 +0000 2025","0","-ness disini ada yang MKU Literasi Digital Kemanusiaan hari Rabu jam 13.00 dosen ibu Prima Novitasari gak??? sender blm ketemu grupnya sampe skr jadi ga ikut pembelajaran dr minggu kemarin kalo ada yg ud masuk komen ya nnti sender dm. thanku so much!! ","1963224250870902882","","","in","","0","0","0","https://x.com/undefined/status/1963224250870902882","2642629536",
"1963205961122009389","Wed Sep 03 11:42:30 +0000 2025","0","Kantor Perwakilan Bank Indonesia Provinsi Bali sukses menggelar rangkaian kegiatan QRIS Jelajah Budaya Indonesia (QJI) Bali #bankindonesia #qris #umkm #bali https://t.co/iKi8zjD08J","1963205961122009389","","","in","","0","1","0","https://x.com/undefined/status/1963205961122009389","1293295315148140545",
"1963179648667324615","Wed Sep 03 09:58:14 +0000 2025","0","(6/7) Bagaimana menghadapinya? Jangan langsung percaya Cek sumber resmi Gunakan tools fact-checking Tingkatkan literasi digital Pelengkap: Waspada sebelum share konten. https://t.co/fhl3nPSBOq","1963179720943493350","https://pbs.twimg.com/media/Gz6djJUaAAApTZv.jpg","DigitalOasisID","in","","0","1","0","https://x.com/undefined/status/1963179720943493350","2273930977",
